"path","kind","bytes","sha256","lines","scope"
"C:\Users\Junior\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\sites\skills\sites-building\SKILL.md","SKILL.md","31104","F036A18BE47D3012CA8993C82EED2350CB8920FFACD4576C99849846952EA880","234","vendor-source"
"C:\Users\Junior\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\sites\skills\sites-hosting\SKILL.md","SKILL.md","6721","3DFB59FA4F08DC5E5CACA99C5E2BF7182851990B3F6197996EEF87B7A55CBFD7","52","vendor-source"
"C:\Users\Junior\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\visualize\skills\visualize\SKILL.md","SKILL.md","31437","25F8B5C2C882F26C65DED05D0485984FCBC07C13F0363ABFC3B3A9704D997008","515","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\automations\benny\skills\reproduce-and-fix-issues\SKILL.md","SKILL.md","14548","BD9D688415CABEE95247738F9EA927325BA0EAD7796D0D18CB57CF82DD35DF54","311","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\automations\benny\skills\setup-benny\SKILL.md","SKILL.md","14258","1B8D0BAE5265413A65B03C9B3B883F1D91EFC0E7C1CB3A28E66C215B3A2094F7","267","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\automations\benny\skills\triage-issue-reports\SKILL.md","SKILL.md","10560","8122F1C1E65062BF0F1103A587C08ED7D14779C64625643A9F488F262FD21AD8","241","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\architect\SKILL.md","SKILL.md","5716","A932E383C55EB672E530F28046A7049BBC273960780D86BD27762A2252F1760D","82","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\arena\SKILL.md","SKILL.md","5604","D1FD28735F8B542FE9040476C3843267EE3572329A5A1A6E315430C4A98E8D65","73","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\automate-me\SKILL.md","SKILL.md","7394","B7A650236A173CCB400C48D226911C9FFD62F0D8C902DF9EDC684EB627546F9A","128","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\blast-radius\SKILL.md","SKILL.md","4374","E09F560BA1817F95E7C5F2081040E1EBAEC3A88C285DD4D64A99AE6BF1DC1393","53","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\create-verification-skill\SKILL.md","SKILL.md","5824","B7DC1877C14889C6086076891C6E57668F9AB8272AAEA33E8FC2F75E3B2332BB","44","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\figure-it-out\SKILL.md","SKILL.md","5443","7A84ADDB25B57D1C524EF99CE7F54570A84E21FA08FF2E1A5A90C01A972479EF","58","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\how\SKILL.md","SKILL.md","7547","B07BECA701E465C6EEB2C816DD9AB1DD381EFA3F95A62C531408F23C77C178D9","125","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\interrogate\SKILL.md","SKILL.md","5668","138CD38FD973AE1D2C76E36B5D78699CD3D0FD1DD75579B913C27A91C9817C3C","114","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\maintain-verification-skill\SKILL.md","SKILL.md","5290","F2EC658E27F481BBBB2D3DE867E1D2925B99209D73EE9451B07B463439CB838D","41","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\poteto-mode\SKILL.md","SKILL.md","16144","2F6776DC33CA37BBDF134D767BB2FB2884C5361F6A8655C2B5946CA9C64F4179","133","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-boundary-discipline\SKILL.md","SKILL.md","1783","4240C4F31E0FE0E4F77109A1CB9FD8766EAE6001074B4476D1EC630BDA26BB9D","32","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-build-the-lever\SKILL.md","SKILL.md","2769","9F9F6D6F1A2829BF80B24BCD9E21BBC38D0B7E1631E3DD9CC99C15A003E982B2","24","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-encode-lessons-in-structure\SKILL.md","SKILL.md","2363","4B2547640A16404807A6871B5D7EDEB40373817B0D4D1AB39BB7741661CFD385","31","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-exhaust-the-design-space\SKILL.md","SKILL.md","1165","95B366E0A8E1C1ADE4C234B8AA7DBCEBCE2DFE0EA312E0B395F4D6058279EAB1","21","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-experience-first\SKILL.md","SKILL.md","1416","024F1D5E3D6D95C77D9322A8E0CF8BADA0F8D0D4D8B8BC229AF723209D56B4EA","19","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-fix-root-causes\SKILL.md","SKILL.md","1478","99D942A5AEB3534B6B602D617D50F6019B601A625D2E9314A453224E6C0ADA2A","23","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-foundational-thinking\SKILL.md","SKILL.md","1734","5A82D9D76BD86DE946D59C64CD9D6ADE115A5FEFF812A8C55072E2EE4BBF6A9C","19","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-guard-the-context-window\SKILL.md","SKILL.md","1258","F0C9A2A3AC8EA8FF7731F08BD314D8EEA5177ACD5565577C30655333B0104639","17","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-laziness-protocol\SKILL.md","SKILL.md","1374","AE1F6C0E906F8995F1C3F5A37E4707DF69A0A57718AC2739A4D0AF135C538F54","17","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-make-operations-idempotent\SKILL.md","SKILL.md","1503","BF015DCB9941E7DDA4C8280B594FC255AB351F8D88A96C94EBA46A4E712D9CA1","24","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-migrate-callers-then-delete-legacy-apis\SKILL.md","SKILL.md","1263","0373E27867E5203C5217DED890A32D0DC638F19E3BDACFF2ECB51B76AE0DC56F","22","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-minimize-reader-load\SKILL.md","SKILL.md","1844","A8A7A10F521885F0CCFC5B7E374FCC1829924B92622157E5A2BBF1D414D8AD47","21","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-model-the-domain\SKILL.md","SKILL.md","1968","3C35FEEA40055AC3B1DEB03F67D4ECC082470A017C305C1E120A6F86BF558E3B","25","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-never-block-on-the-human\SKILL.md","SKILL.md","1955","8D0FC8373354F3DF49ACDDFEC60418D35F4A02AA224BA3009B0D4B330FE1077D","29","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-outcome-oriented-execution\SKILL.md","SKILL.md","1243","BF9E0F8DFD097C0F9A322455764C5A688041DB78F495460D48894F7203BF519E","22","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-prove-it-works\SKILL.md","SKILL.md","2190","F9426E1FEC002D9B4DA01D45B921848B9B44181B3531D04335DCAA8DD5E63113","33","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-redesign-from-first-principles\SKILL.md","SKILL.md","1048","79D7BE1E019C810D25803BE8FD254048475CE9C4C498EEFDDAE1136195FE2547","16","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-separate-before-serializing-shared-state\SKILL.md","SKILL.md","1736","8E0BE543002E9D1F3B779B4D50FE217560C3B2092BAD0627A82E63DC75633ACC","16","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-sequence-verifiable-units\SKILL.md","SKILL.md","2401","8D19F64EE637FF155BE0A153E1807CAE01DC3AEF3B3328E8CE7F320A5C00197E","22","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-subtract-before-you-add\SKILL.md","SKILL.md","1296","833A8A09424B22FEE6A1C84A8E704EA00331DEDECBFB3C6A658EBD17888C30BD","20","vendor-source"
"C:\Users\Junior\.codex\.tmp\marketplaces\sm0ol\plugins\pstack-codex\skills\principle-type-system-discipline\SKILL.md","SKILL.md","3935","B5B35E085A03937D9792375D900C40D6DEA4D18B3D5E2929E2981062045097F0","29","vendor-source"
